,url,category,volume,purpose,description,suitable_for,how_to_use,ingredients,price
0,https://www.krasanamiru.cz/produkty/108855-2/,"['AKCE', 'Kompletní letní péče: na den a noc']",150.0,,Naše kosmetička Martina pro Vás sestavila kompletní letní kosmetickou péči na den a noc. Jste vybaveni na celé léto a můžete vyrazit za zážitky. Vhodná pro všechny typy pleti.,,,INGREDIENTS: viz jednotlivé produkty,
1,https://www.krasanamiru.cz/produkty/anti-aging-maska-s-kyselinou-hyaluronovou-2/,"['BIOEARTH', 'Jednorázové celulózové masky', 'Anti-aging maska s kyselinou hyaluronovou']",15.0,"['HYDRATUJE', 'OMLAZUJE', 'ZJEMŇUJE', 'VYHLAZUJE']","Jednorázová buněčná pleťová maska s kyselinou Hyaluronovou. Díky obsahu velkých i malých molekul kyseliny Hyaluronové je tato maska ideální pro hloubkovou hydrataci a zároveň uvolnění a relaxaci. Navíc je důležitým stavebním prvkem kůže, dokáže na sebe vázat několikanásobně více vody, než je její samotná hmotnost. Pokožku do hloubky hydratuje, zlepšuje její pružnost a pevnost. Dále obsahuje ingredience s antioxidačními účinky, jako je šťáva z Aloe Vera a extrakt z Jania Rubens (štíhlý korálový plevel, který se vyskytuje v Evropských vodách).","všechny typy pleti, ideální pro unavenou, povadlou, suchou a první vrásky.",masku aplikujte na důkladně vyčištěný a suchý obličej. Nechte působit 15-20 minut. Masku odstraňte a zbylou tekutinu z masky jemně vmasírujte do úplného vstřebání. Následně naneste několik kapek odpovídajícího pleťového séra Bioearth.,"INGREDIENTS:Aqua (WATER), Propanediol, ALOE BARBADENSIS LEAF JUICE*, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, RUBUS IDAEUS LEAF EXTRACT *, Jania Rubens Extract, Glycerin, Benzyl alcohol, POLYGLYCERYL-4 CAPRATE, Xanthan gum, EthylhexylGlycerin, PARFUM (FRAGRANCE), TETRASODIUM GLUTAMATE DIACETATE, Citric Acid, Sodium Benzoate, Potassium Sorbate *Suroviny z ekologického zemědělství.",220.0
2,https://www.krasanamiru.cz/produkty/24hod-krem-s-vitaminem-c-a-amlou/,"['BIOEARTH', 'Péče o pleť', 'Vitaminica', '24hod. krém s vitamínem C a Amlou']",50.0,"['ROZJASŇUJE', 'ZPEVŇUJE', 'ANTI-AGE', 'CHRÁNÍ']","Lehký krém s konzistencí fluidu bohatý na stabilní vitamín C (2%) a BIO rostlinné výtažky z kiwi, citrónu, pomeranče, grapefruitu a Amly, přírodní zdroje vitamínu C užitečné v boji proti oxidativnímu stresu a stárnutí. Pokožku rozjasňuje, stimuluje, zpevňuje, stimuluje tvorbu kolagenu a elastinu a udržuje ji svěží a zářivou.Vhodný pro: všechny typy pleti, ideálně pro unavenou, mdlou, stresovanou, barevně nejednotnou pleť, jemné vráskyFunkční látky: • Stabilní Vitamín C (2%): stimuluje přirozenou tvorbu kolagenu, rozjasňuje chrání před oxidačním stresem. Sjednocuje pleť, působí na chrono i fotostárnutí, kontrastní dyschromii a hyperpigmentaci.• Vodný extrakt z granátového jablka a špenátu; glycerový extrakt z jahod, kiwi, grapefruit: přírodní zdroje vitamínu C. • Extrakt z Amly (Indický angrešt): je jedním z nejbohatších zdrojů vitamínu C. Pomáhá v boji proti vráskám, zlepšuje elasticitu pokožky, narušuje vrchní vrstvu odumřelých buněk kůže a přispívá ke zjemnění a rozjasnění.",,"Naneste na čistou tvář a krk (ráno/večer viz. doporučení tabulka), masírujte, dokud se zcela nevstřebá.","Aqua (WATER), Glyceryl Stearate SE, Caprylic/capric triglyceride, Cetearyl Alcohol, Sodium stearoyl lactylate, SORBITAN STEARATE, Dicaprylyl carbonate, 3-O-ETHYL ASCORBIC ACID, ACTINIDIA CHINENSIS (KIWI) FRUIT EXTRACT, Avena Sativa (Oat) Kernel Extract *, FRAGARIA VESCA (STRAWBERRY) LEAF EXTRACT*, Calendula Officinalis Flower Extract*, ROSA CANINA FRUIT EXTRACT*, CITRUS AURANTIUM DULCIS (ORANGE) FLOWER EXTRACT*, CARICA PAPAYA (PAPAYA) LEAF EXTRACT, PINEAPPLE SATIVUS (PINEAPPLE) FRUIT EXTRACT*, SPINACIA OLERACEA LEAF EXTRACT, PUNICA GRANATUM FRUIT EXTRACT*, Citrus Limon (Lemon) Peel Extract*, Citrus grandis (Grapefruit) seed extract*, PHYLLANTHUS EMBLICA FRUIT EXTRACT, Coco-Caprylate/ Caprate, Glycerin, TOCOPHERYL ACETATE, PARFUM (FRAGRANCE), Xanthan gum, EthylhexylGlycerin, Lactic acid, Citric Acid, Benzyl alcohol, Sodium Benzoate, Potassium Sorbate",669.0
3,https://www.krasanamiru.cz/produkty/balonek-pumpicka-na-vysouseni-ras/,"['BEAUTIFUL BROWS', 'LIFTING ŘAS', 'Balónek / pumpička na vysoušení řas']",,,"Balónek na vysoušení řas je speciálně navržen pro urychlení schnutí lepidla při liftingu řas. V ruce netlačí, je pohodlný.TIP: Využijte balónek, pokud zákaznici slzí oko. Stačí lehce fouknout ze strany do vnějšího koutku oka a oko slzet přestane.",,,,
4,https://www.krasanamiru.cz/produkty/antioxidacni-sampon-pro-vsechny-typy-vlasu-2/,"['BIOEARTH', 'Šampony', 'Antioxidační šampon pro všechny typy vlasů']",250.0,"['REMINERALIZUJE', 'ČISTÍ', 'CHRÁNÍ', 'OSVĚŽUJE']","Remineralizující (znovu dodá minerály) šampon je dokonalou péčí pro všechny typy vlasů a je vhodný pro každodenní použití. Šampon zlepšuje kvalitu vlasů, podporuje jejich růst a účinně chrání před znečištěním a agresivními vlivy životního prostředí.  Obsahuje Spirulinu, vodní řasu bohatou na minerály, bílkoviny, živiny a antioxidanty. Vlasy chrání proti volným radikálům a oxidačnímu stresu. Verbena regeneruje pokožku hlavy a dodává šamponu nádhernou citrusovou vůni.NEOBSAHUJE: sulfáty (SLS / SLES), silikony, parabeny, minerální oleje, PEG, PPG, Cetrimonium Chloride, Polyquaternium, umělé parfemace.POUŽITÍ:  Aplikujte malé, ale dostatečné množství na mokré vlasy a jemnou masáží zapracujte, vytvoří se bohatá pěna, následně opláchněte a celý proces znovu zopakujte, tentokrát však proveďte intenzivnější masáž, důkladně opláchněte a aplikujte příslušný kondicionér. Šampon je vhodný pro každodenní použití.",všechny typy vlasů,,"Aqua (Water), Ammonium Lauryl Sulfate, Cocamidopropyl Betaine, Sodium Chloride, Moringa Oleifera Leaf Extract, Verbena Officinalis Leaf Rectified Oil, Spirulina Platensis Powder*, Lavandula Hybrida Oil*, Centella Asiatica Leaf Extract, Glycerin, Fucus Vesiculosus Extract, Arctium Lappa Root Extract*, Triticum Vulgare (Wheat) Germ Oil, Coco-Glucoside, Glyceryl Oleate, Decyl Glucoside, Limonene, Citric Acid, Citral, Linalool, Lactic acid, Benzyl alcohol, Sodium Benzoate, Potassium Sorbate.*Suroviny z organického zemědělství.",369.0
5,https://www.krasanamiru.cz/produkty/balicek-pro-muze-tvar-a-telo/,"['PÉČE O PLEŤ', 'Pro Muže', 'Balíček pro muže: tvář a tělo']",150.0,"['ČISTÍ', 'REGULUJE MAZ', 'HYDRATUJE', 'OSVĚŽUJE']","Základní kosmetické minimum pro každého muže na každý den se svěží citrusovo-kořeněnou vůní.Obsahuje: Čistící pěnu na tvář i vousy, Revitalizační 24hod. krém na tvář + DÁREK dle vlastního výběru Deodorant nebo Povzbuzující sprchový gel & šampon.",,"ráno a večer očistěte tvář Čistící pěnou, důkladně opláchněte, osušte. Ideální do sprchy. Poté naneste Revitalizační krém, vmasírujte do vstřebání, otázka okamžiku.",INGREDIENTS: viz jednotlivé produkty,918.0
6,https://www.krasanamiru.cz/produkty/balzam-na-rty-s-kys-hyaluronovou/,"['BIOEARTH', 'Péče o pleť', 'Péče o rty', 'Balzám na rty s kys. hyaluronovou']",,,"Pečující balzám s kys. hyaluronovou pro namáhané a často suché rty. Nepostradatelný spojenec v chladném období. Obsahuje kys. hyaluronovou a aloe vera, blahodárné oleje – slunečnicový, řepkový, olej z rýžových otrub a glycerin. Balzám hloubkově hydratuje, výživuje, regeneruje, zjemňuje a chrání. Konzistence je přijemně vláčná, krásně pro rtech klouže a vytváří na nich ochrannou bariéru.Vhodný pro: všechny typy pleti, suché, citlivé, popraskané rty",,"balzám použijte kdykoliv během dne, kdy ucítíte, že rty potřebují zvláčnit","Canola Oil, Caprylic/capric triglyceride, Oryza Sativa Bran Wax, Hydrogenated Rapeseed Oil, ALOE BARBADENSIS LEAF JUICE*, HYDROLYZED Sodium Hyaluronate, SACCHAROMYCES FERMENT LYSATE FILTRATE, Glycerin, TOCOPHEROL, Squalene, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, Thaumatococcus Danielli Fruit Extract, Polyglyceryl-3 Polyricinoleate, Glyceryl Laurate, Aqua (WATER), Citric Acid, AROMA (FLAVOR), Beta-Sitosterol, Sodium Benzoate, Potassium Sorbate                                                                                                   *z ekologického zemědělství",189.0
7,https://www.krasanamiru.cz/produkty/balzam-na-rty-se-sipkovym-olejem/,"['BIOEARTH', 'Péče o pleť', 'Péče o rty', 'Balzám na rty se šípkovým olejem']",,,"Pečující balzám se šípkovým olejem pro namáhané a často suché rty. Nepostradatelný spojenec v chladném období. Obsahuje aloe vera, pečující oleje – šípkový, slunečnicový, řepkový, olej z rýžových otrub. Balzám vyživuje, regeneruje, zjemňuje, zlepšuje pružnost a elasticitu, chrání. Konzistence je přijemně vláčná, krásně pro rtech klouže a vytváří na nich ochrannou bariéru.Vhodný pro: všechny typy pleti, suché, citlivé, popraskané rty",,"balzám použijte kdykoliv během dne, kdy ucítíte, že rty potřebují zvláčnit","Canola Oil, Caprylic/capric triglyceride, Oryza Sativa Bran Wax, Hydrogenated Rapeseed Oil, ALOE BARBADENSIS LEAF JUICE*, ROSA MOSCHATA SEED OIL, SACCHAROMYCES FERMENT LYSATE FILTRATE, TOCOPHEROL, Squalene, Glycerin, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, Thaumatococcus Danielli Fruit Extract, Polyglyceryl-3 Polyricinoleate, Glyceryl Laurate, Aqua (WATER), Citric Acid, AROMA (FLAVOR), Beta-Sitosterol, Sodium Benzoate, Potassium Sorbate
*z ekologického zemědělství",189.0
8,https://www.krasanamiru.cz/produkty/barva-na-rasy-a-oboci-intenzivni-cerna/,"['BEAUTIFUL BROWS', 'BARVY NA ŘASY & OBOČÍ', 'Barva na řasy a obočí Intenzivní černá']",20.0,,"Intenzivní krémová barva na řasy a obočí odstín INTENZIVNÍ ČERNÁ (studený odstín) pro dosažení přirozené barvy obočí. Míchání spolu s 3% krémovým peroxidem.Barvy jsou určeny k profesionálnímu i domácímu použití. Vyvážená kombinace pečlivě vybraných pečujících složek, jako je lanolin, nebo slunečnicový olej zaručuje bezpečnou aplikaci, která jde ruku v ruce se současnými kosmetickými trendy v péči o obočí, řasy i pokožku.TIP kosmetičky: při barvení řas smíchejte tuto černou s MODRO ČERNOU – docílíte intenzivního 3D efektu.Upozornění: barva může způsobit alergické reakce, proto před prvním použitím proveďte test snášenlivosti. Při barvení používejte rukavice. Tento produkt není vhodný pro osoby mladší 16 let.Nebarvěte si řasy ani obočí pokud:",,návod ZDE + podrobný návod je součástí každého balení.K aktivaci barvy je zapotřebí použít výhradně krémový aktivátor barvy s 3% peroxidem Beautiful Brows.,"Barva Intenzivní černá / Deep Black:
Aqua, Cetearyl Alcohol, Glyceryl Stearate SE, p-Phenylenediamine, Oleamide DEA, Sodium Cetearyl Sulfate, m-Aminophenol, Helianthus Annuus Seed Oil, Ammonium Hydroxide, Lanolin, Parfum, Sodium Sulfite, 2,6-Diaminopyridine, Limonene, Linalool, Citral, Geraniol.",349.0
9,https://www.krasanamiru.cz/produkty/barva-na-rasy-a-oboci-modro-cerna/,"['BEAUTIFUL BROWS', 'BARVY NA ŘASY & OBOČÍ', 'Barva na řasy a obočí Modro černá']",20.0,,"Intenzivní krémová barva na řasy a obočí odstín MODRO ČERNÁ (studený odstín) pro dosažení přirozené barvy obočí. Míchání spolu s 3% krémovým peroxidem.Barvy jsou určeny k profesionálnímu i domácímu použití. Vyvážená kombinace pečlivě vybraných pečujících složek, jako je lanolin, nebo slunečnicový olej zaručuje bezpečnou aplikaci, která jde ruku v ruce se současnými kosmetickými trendy v péči o obočí, řasy i pokožku.Upozornění: barva může způsobit alergické reakce, proto před prvním použitím proveďte test snášenlivosti. Při barvení používejte rukavice. Tento produkt není vhodný pro osoby mladší 16 let.Nebarvěte si řasy ani obočí pokud:",,návod ZDE + podrobný návod je součástí každého balení. K aktivaci barvy je zapotřebí použít výhradně krémový aktivátor barvy s 3% peroxidem Beautiful Brows.,"Barva Modro černá / Blue Black:
Aqua, Cetearyl Alcohol, Glyceryl Stearate SE, Oleamide DEA, p-Phenylenediamine, Ammonium Hydroxide, Sodium Cetearyl Sulfate, 2,6-Diaminopyridine, Helianthus Annuus Seed Oil, Lanolin, Parfum, Sodium Sulfite, 2,4 DiaminoPHENOXYETHANOL Sulfate, Limonene, Linalool, Citral, Geraniol.",349.0
